q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40
I am a student at the University of Stirling,Year 3,Agree,,,Disagree,Disagree,Disagree,420,60,304,,,True,True,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",45,2,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,Seminars and workshops,,Other,School,,Somewhat,,treadmill,intermediate yoga,swimming,,spinning class,stair climber at the gym,Sprinting and circuits,90-149 minutes,2020-02-05
I am a student at the University of Stirling,Year 3,Strongly agree,,,Agree,Agree,Neutral,150,30,30,3,,True,True,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,4,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Stand-alone lectures,Seminars and workshops,Digital learning and electronic content,Guided studies",,"Individual interest and reading,Media, YouTube, internet",,,Somewhat not,,running,short sprints,,,,,,Under 30 minutes,2020-02-05
I am a student at the University of Stirling,Year 3,Strongly agree,,,Strongly Disagree,Agree,Neutral,210,30,10,4,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,3,Should minimise the amount of time spent being sedentary (sitting) for extended periods,Yes,Yes,Seminars and workshops,,Through participating in physical activity or sport,,"I go to the gym regularly, kayak and do martial arts.",Somewhat,,brisk/ hill walking,jogging,swimming,,cycling (spin),weight lifting/ gym classes,running,90-149 minutes,2020-02-12
I am a student at Solent University,Year 2,Neutral,,,Disagree,Disagree,Disagree,180,20,60,1,,True,True,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",200,1,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA)",No,Yes,Seminars and workshops,,"External conferences, informal teaching or presentations,Media, YouTube, internet,Through participating in physical activity or sport",,,Somewhat,,walk,yoga,slow jog,,jujitsu,5k run,weights,31-90 minutes,2021-10-15
I am a student at Solent University,Year 2,Strongly agree,,,Disagree,Disagree,Disagree,180,30,30,60,,True,False,True,False,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,3,Should minimise the amount of time spent being sedentary (sitting) for extended periods,No,Yes,"Seminars and workshops,Digital learning and electronic content",,"Individual interest and reading,Through participating in physical activity or sport",,"running, swimming, yoga, tai chi, cycling rock climbing, walking",Very,,walking,yoga,tai chi,,running,cycling,rock climbing,150+ minutes,2021-10-15
I am a student at Solent University,Year 3,Agree,,,Strongly Disagree,Agree,Agree,210,30,105,5,,True,True,False,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,5,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA)",No,Yes,"Seminars and workshops,Guided studies",,"External conferences, informal teaching or presentations,Through participating in physical activity or sport",,"Running, pilates",Somewhat,,Speed walking,Swimming,Cycling,,Sprinting/running,Football,Boxercise,31-90 minutes,2021-10-15
I am a student at Solent University,Year 1,Agree,,,Disagree,Disagree,Disagree,180,30,20,3,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",20,3,None of the above,No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Guided studies",,"Individual interest and reading,Media, YouTube, internet",,,Not at all,,walking ,sport,swimming ,,cardio,running ,,31-90 minutes,2021-10-15
I am a student at Solent University,Year 3,Strongly agree,,,Neutral,Strongly agree,Strongly agree,150,30,75,2,,False,True,False,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",60,7,Should minimise the amount of time spent being sedentary (sitting) for extended periods,No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Digital learning and electronic content,Guided studies",,"Individual interest and reading,Through participating in physical activity or sport",,swim 3 x weekly 1 mile  rowing machine 60 mins x 2/3 times weekly  vigoursous walking x 15 miles 1 weekly,Somewhat,,swimming,walking,cycling,,running,activity sports,stairs x ,90-149 minutes,2021-10-15
I am a student at Solent University,Year 3,Strongly agree,,,,Strongly agree,Agree,150,10,75,2,,True,False,False,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Refrain from physical activity in presence of chronic disease such as heart disease or arthritis,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,60,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",Yes,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Digital learning and electronic content,Guided studies",,"Nursing programme curriculum,Individual interest and reading,External conferences, informal teaching or presentations,Media, YouTube, internet,Through participating in physical activity or sport",,"I have done 8kg weights, rowing, jumping roops, etc.",Average,,walking,hula hoop,water aerobics,,cycling,running,swimming,150+ minutes,2021-10-15
I am a student at Solent University,Year 2,Strongly agree,,,Unsure,Unsure,Unsure,4,10,3,7,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,5,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",Yes,Yes,Seminars and workshops,,Individual interest and reading,,running walking,Average,,walking,yoga,swimming,,zumba,running,long distance swimming,90-149 minutes,2021-10-15
I am a student at Solent University,Year 1,Strongly agree,,,Agree,Strongly agree,Strongly agree,210,30,15,3,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,5,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",Yes,Yes,"Seminars and workshops,Assessable content,Digital learning and electronic content",,"Nursing programme curriculum,Individual interest and reading,External conferences, informal teaching or presentations,Media, YouTube, internet,Through participating in physical activity or sport",,I walk a lot during the day . I prefer walking than taking the bus to a place that isn’t too far from my location ,Average,,Going to a walk ,Dancing ,Normal daily activities which involves movement ,,Going to the gym ,Brisk walking ,Going to a run ,90-149 minutes,2021-10-15
I am a student at Solent University,Year 1,Strongly agree,,,Agree,Agree,Agree,75,10,75,2,,True,True,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",180,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA),Should avoid strength training before age 16 as may stunt growth rates",Yes,Yes,Digital learning and electronic content,,"External conferences, informal teaching or presentations",,,Somewhat,,Swimming ,Cycling ,Walking ,,Sports ,Running ,Weight lifting ,150+ minutes,2021-10-15
I am a student at Solent University,Year 2,Agree,,,Disagree,Disagree,Disagree,180,60,180,3,,True,False,False,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content",,"Individual interest and reading,Through participating in physical activity or sport",,I aim to do 60 minutes of cardio 3 times per week and walk everyday for at least 30 minutes at a brisk pace.  ,Average,,Walking at a brisk pace,Light jog,Swimming (breast stroke),,Jogging at a fast pace,HIIT classes,Swimmimg (front crawl),31-90 minutes,2021-10-15
I am a student at Solent University,Year 3,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,150,30,10,3,,True,True,True,False,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Refrain from physical activity in presence of chronic disease such as heart disease or arthritis,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls,Only engage in physical activity if they are used to exercise or used to be active",200,30,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA),Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Digital learning and electronic content,Guided studies",,"External conferences, informal teaching or presentations,Media, YouTube, internet,Through participating in physical activity or sport",,I attend 3 gym classes a week to meet the recommended guidance ,Somewhat,,Swimming , Yoga ,Pilates ,,Spin class ,Body combat ,Cardio ,150+ minutes,2021-10-15
I am a student at Solent University,Year 3,Strongly agree,,,Agree,Strongly agree,Strongly agree,150,75,75,2,,True,False,False,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,2,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Seminars and workshops,Assessable content,Digital learning and electronic content",,"Individual interest and reading,External conferences, informal teaching or presentations,Media, YouTube, internet,Through participating in physical activity or sport",,Weight lifting ,Average,,Brisk walk,Swimming lengths,Cycling on flat ground ,,Weight lifting ,HIIT,Spin class,150+ minutes,2021-10-15
I am a student at Solent University,Year 1,Strongly agree,,,Disagree,Agree,Agree,150,30,30,5,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",150,5,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates",No,Yes,"Stand-alone lectures,Digital learning and electronic content",,"Individual interest and reading,Through participating in physical activity or sport",,Running,Very,,Jogging,Fast walking,Cycling ,,Running fast,HITT,Kickboxing,150+ minutes,2021-10-15
I am a student at Solent University,Year 3,Agree,,,Neutral,Strongly agree,Agree,150,30,75,7,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",75,7,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,Seminars and workshops,,"Individual interest and reading,External conferences, informal teaching or presentations,Through participating in physical activity or sport",,"Krav Maga, kickboxing and other self defence training. Having a personal trainer, lifting weights and CrossFit. ",Somewhat,,Brisk walking ,Swimming,Yoga and pilates,,Krav maga,Running,Weight lifting ,90-149 minutes,2021-10-15
I am a student at Solent University,Year 3,Strongly agree,,,Disagree,Disagree,Disagree,150,20,30,1,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",20,3,None of the above,No,Yes,"Seminars and workshops,Assessable content",,"Individual interest and reading,External conferences, informal teaching or presentations",,,Somewhat not,,Lifting weights,Running,Carrying bags of shopping,,Fat burn classess,Cardio lessons ,Climbing (mountains),31-90 minutes,2021-10-16
I am a student at Solent University,Year 3,Strongly agree,,,Disagree,Strongly agree,Disagree,210,30,15,2,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",150,1,Should avoid strength training before age 16 as may stunt growth rates,No,Yes,"Stand-alone lectures,Digital learning and electronic content",,"Individual interest and reading,Through participating in physical activity or sport",,"Running, swimming, walking, cycling, strength classes",Very,,Running / jogging,Swimming,Dancing,,HIIT training,Sprinting,Circuits,150+ minutes,2021-10-16
I am a student at Solent University,Year 2,Strongly agree,,,Agree,Agree,Agree,150,10,75,2,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Refrain from physical activity in presence of chronic disease such as heart disease or arthritis,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,Digital learning and electronic content,,"Nursing programme curriculum,Individual interest and reading",,,Average,,Dancing,Ride a bicycle  ,Water aerobics ,,Squats jumps,Spinning ,Skipping ,150+ minutes,2021-10-16
I am a student at Solent University,Year 1,Agree,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,60,20,60,5,,True,True,False,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,5,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Stand-alone lectures,Digital learning and electronic content",,Other,News,,Somewhat,,Walking,Jogging,Cycling,,Hiit,Swimming,Running,Under 30 minutes,2021-10-17
I am a student at Solent University,Year 1,Agree,,,Disagree,Disagree,Disagree,70,10,60,3,,True,False,False,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",3,0,None of the above,No,Yes,Digital learning and electronic content,,"Media, YouTube, internet",,,Average,,Hit a certain amount of steps per day,Step videos ,,,Gym ,Weight lifting ,Running ,Under 30 minutes,2021-10-17
I am a student at Solent University,Year 3,Strongly agree,,,Disagree,Agree,Neutral,150,60,20,3,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,5,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Assessable content,Digital learning and electronic content",,"Individual interest and reading,Media, YouTube, internet,Through participating in physical activity or sport",,Yoga  HIIT,Somewhat not,,Cycling,Jogging,Yoga,,Circuits,Kickboxing,Sprinting,90-149 minutes,2021-10-17
I am a student at Solent University,Year 1,Strongly agree,,,Agree,Strongly agree,Agree,150,30,60,3,,True,False,False,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Refrain from physical activity in presence of chronic disease such as heart disease or arthritis,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls,Only engage in physical activity if they are used to exercise or used to be active",10,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Seminars and workshops,Digital learning and electronic content,Guided studies",,"Individual interest and reading,Media, YouTube, internet,Through participating in physical activity or sport",,Jumpfit instructor(jump on rebound boots),Somewhat,,running,zumba,kangoo jumps,,,,,31-90 minutes,2021-10-19
I am a student at Solent University,Year 1,Agree,,,Neutral,Disagree,Agree,60,30,15,3,,False,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls,Only engage in physical activity if they are used to exercise or used to be active",15,1,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates",No,Yes,"Assessable content,Digital learning and electronic content,Guided studies",,"Individual interest and reading,Media, YouTube, internet,Through participating in physical activity or sport",,Rugby and Hockey ,Somewhat,,walking in different environments and intensity,training for team games,jogging,,weight lifting,sprinting/running,HIIT training,31-90 minutes,2021-10-19
I am a student at Solent University,Year 2,Agree,,,Agree,Agree,Unsure,150,30,75,2,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,7,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates",No,Yes,"Stand-alone lectures,Seminars and workshops",,"Individual interest and reading,Through participating in physical activity or sport",,running 5k every 2 weeks  dancing once a week for 90 mins  30min Hiit 3-4 times a week,Somewhat,,dancing,fast walking,riding a bike,,circuit training,running,aerobics,150+ minutes,2021-10-19
I am a student at Solent University,Year 1,Agree,,,Unsure,Unsure,Agree,210,30,10,4,,True,True,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",210,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,Stand-alone lectures,,"Individual interest and reading,Media, YouTube, internet,Through participating in physical activity or sport",,Swimming and walking,Average,,Swimming,Netbal,Football,,Running,Spinning,Circuits,31-90 minutes,2021-10-19
I am a student at Solent University,Year 1,Agree,,,Neutral,Neutral,Neutral,70,10,40,4,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",20,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Seminars and workshops,Assessable content",,"Media, YouTube, internet",,,Average,,Running,Swimming,Cycling,,,,,31-90 minutes,2021-10-19
I am a student at Solent University,Year 1,Agree,,,Disagree,Disagree,Disagree,210,30,120,3,,True,True,False,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,5,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,Seminars and workshops,,Other,none,,Somewhat not,,paddleboarding,bike ride ,weight training,,gym session,game of football,running,Under 30 minutes,2021-10-19
I am a student at Solent University,Year 3,Strongly agree,,,Disagree,Disagree,Disagree,210,30,60,3,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,4,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Seminars and workshops,Assessable content",,"Individual interest and reading,Media, YouTube, internet",,,Average,,walking,cycling,stretching ,,HIIT ,cardio,running,Under 30 minutes,2021-10-20
I am a student at Solent University,Year 1,Strongly agree,,,Unsure,Agree,Neutral,150,30,10,2,,True,False,False,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",150,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates",No,Yes,"Seminars and workshops,Assessable content,Digital learning and electronic content",,Other,Through work as hca,,Somewhat not,,Hiking,Strength ,,,Running,,,31-90 minutes,2021-10-21
I am a student at Solent University,Year 1,Agree,,,Neutral,Neutral,Neutral,120,30,60,4,,True,False,True,True,False,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls,60,5,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates",No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Digital learning and electronic content,Guided studies",,"Nursing programme curriculum,Individual interest and reading,External conferences, informal teaching or presentations",,,Somewhat not,,swimming,fast walking,light use of weights,,running,spinning class,body pump,31-90 minutes,2021-10-22
I am a student at Solent University,Year 1,Agree,,,Unsure,Unsure,Unsure,120,30,30,2,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,Seminars and workshops,,"External conferences, informal teaching or presentations,Through participating in physical activity or sport",,Swimming,Somewhat not,,,,,,,,,31-90 minutes,2021-10-22
I am a student at Solent University,Year 1,Strongly agree,,,Unsure,Unsure,Unsure,150,15,30,4,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Refrain from physical activity in presence of chronic disease such as heart disease or arthritis,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,Should minimise the amount of time spent being sedentary (sitting) for extended periods,No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Digital learning and electronic content,Guided studies",,"Media, YouTube, internet,Through participating in physical activity or sport",,,Somewhat,,walking,jogging,dancing,,weight lifting,Running,,Under 30 minutes,2021-10-23
I am a student at Solent University,Year 1,Neutral,,,Neutral,Agree,Neutral,90,30,30,2,,True,True,False,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",20,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA)",Yes,Yes,"Seminars and workshops,Digital learning and electronic content",,"Nursing programme curriculum,Individual interest and reading,Media, YouTube, internet",,,Average,,brisk walking,swimming,cycling,,HIIT,strength training,spinning (cycle),31-90 minutes,2021-10-24
I am a student at the University of Stirling,Year 3,Agree,,,Disagree,Neutral,Disagree,90,60,30,2,,True,False,True,False,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Digital learning and electronic content,Guided studies",,"Individual interest and reading,Media, YouTube, internet",,,Somewhat not,,Walking,Jogging,Yoga,,Running,Swimming,Weightlifting,31-90 minutes,2021-11-17
I am a student at the University of Stirling,Year 3,Agree,,,Neutral,Neutral,Neutral,180,60,30,3,,True,True,True,False,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",60,240,Should minimise the amount of time spent being sedentary (sitting) for extended periods,Yes,No,Digital learning and electronic content,,Nursing programme curriculum,,swimming,Average,,swimming,walking,house work its tough going,,swimming,running,gym workout,31-90 minutes,2021-11-17
I am a student at the University of Stirling,Year 3,Agree,,,Neutral,Neutral,Neutral,150,30,,3,,True,False,True,False,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",20,,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,Seminars and workshops,,"Through participating in physical activity or sport,Other",Quifilcation,3 to 4 days per week hiit training   ,Average,,Swimming,Yoga,Power walking ,,Running ,Crossfit,Hiit training,90-149 minutes,2021-11-17
I am a student at the University of Stirling,Year 3,Agree,,,Disagree,Agree,Agree,3500,10,30,3,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",Yes,Yes,"Seminars and workshops,Digital learning and electronic content",,"Nursing programme curriculum,Individual interest and reading,Media, YouTube, internet,Through participating in physical activity or sport",,"Regular walking activities, gym sessions ",Somewhat,,Walking,household tasks (hoovering),casual sport ,,HIIT,Running,Cycling,90-149 minutes,2021-11-17
I am a student at the University of Stirling,Year 3,Agree,,,Unsure,Unsure,Unsure,200,30,60,3,,,False,True,False,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",20,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Digital learning and electronic content",,"Nursing programme curriculum,External conferences, informal teaching or presentations,Through participating in physical activity or sport",,"Weight training, walking groups ",Average,,Dog walking ,Resistance training ,House work ,,Metafit,Cardio ,Running ,31-90 minutes,2021-11-17
I am a student at the University of Stirling,Year 3,Agree,,,Neutral,Disagree,Agree,60,2,10,4,,True,True,False,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,2,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates",Yes,No,"Seminars and workshops,Digital learning and electronic content",,"Nursing programme curriculum,External conferences, informal teaching or presentations",,discussions,Average,,walking ,30 minute exercises ,swimming,,running ,cycling ,spinning ,90-149 minutes,2021-11-17
I am a student at the University of Stirling,Year 3,Strongly agree,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,210,30,,3,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",30,30,Should minimise the amount of time spent being sedentary (sitting) for extended periods,No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content",,"Media, YouTube, internet",,,Somewhat not,,brisk walk,cycling,,,iterval training,running,,Under 30 minutes,2021-11-17
I am a student at the University of Stirling,Year 3,Strongly agree,,,Agree,Agree,Agree,30,10,75,2,,False,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Digital learning and electronic content,Guided studies",,"Nursing programme curriculum,Media, YouTube, internet",,,Average,,walking ,swimming ,jogging ,,HiiT class ,spin class ,running ,31-90 minutes,2021-11-17
I am a student at the University of Stirling,Year 3,Agree,,,Disagree,Disagree,Disagree,210,30,20,2,,True,False,False,False,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",60,3,Should minimise the amount of time spent being sedentary (sitting) for extended periods,No,Yes,"Stand-alone lectures,Seminars and workshops",,"Nursing programme curriculum,Media, YouTube, internet",,Go Shots progmamme   Fitness Apps,Somewhat not,,walking,Jogging,Swiming,,Running,Aerobics,Hill walking,Under 30 minutes,2021-11-17
I am a student at the University of Stirling,Year 3,Other,"I think it would depend on the reason for the nurse's input, if someone is unable to do physical activity then it is not applicable to discuss it",,Unsure,Agree,Unsure,60,10,45,1,,True,False,False,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",120,1,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates",No,Yes,"Stand-alone lectures,Seminars and workshops,Guided studies",,"Nursing programme curriculum,External conferences, informal teaching or presentations",,,Not at all,,Cycling,Intense Walking,Swimming,,Weight Lifting,Abs Crunch,Marathon Training,Under 30 minutes,2021-11-17
I am a student at the University of Stirling,Year 3,Agree,,,Neutral,Neutral,Neutral,70,10,30,4,,True,False,True,False,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",10,4,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",Yes,Yes,Digital learning and electronic content,,"Nursing programme curriculum,Media, YouTube, internet",,Take my dog for walks daily. ,Average,,Walking,Running ,Cycling ,,Sprints ,Boxing ,Cross Country,90-149 minutes,2021-11-17
